key,lon,lat,roll_section,prop_class,asmt_acres,total_av_2015,parcel_location_address,total_av_2016,total_av_2017,total_av_2018,total_av_2019,total_av_2020,total_av_2021,total_av_2022,total_av_2023,pct_2016,pct_2017,pct_2018,pct_2019,pct_2020,pct_2021,pct_2022,pct_2023,pct_2020_2023
500700_1.-1-15,-76.5,42.4635,8,650,2.9,1950000,1 James L Gibbs Dr,1950000,1950000,1950000,1950000,1950000,1950000,1950000,1950000,0,0,0,0,0,0,0,0,0
500700_10.-1-10,-76.4875,42.453,1,210,0,415000,212 Fall Creek Dr,450000,450000,500000,500000,585000,585000,650000,702000,0.0843371,0.0843371,0.204819,0.204819,0.409638,0.409638,0.566264,0.691565,0.2
500700_10.-1-11,-76.4879,42.453,1,210,0,350000,202 Fall Creek Dr,385000,385000,470000,470000,500000,500000,575000,621000,0.0999997,0.0999997,0.342856,0.342856,0.42857,0.42857,0.642855,0.774284,0.242
500700_10.-1-12,-76.4878,42.4532,8,210,0,350000,109 Barton Pl,350000,350000,500000,500000,525000,525000,575000,621000,0,0,0.42857,0.42857,0.499999,0.499999,0.642855,0.774284,0.182857
500700_10.-1-1,-76.4878,42.4535,1,210,0,280000,201 Thurston Ave,330000,330000,350000,350000,375000,375000,475000,513000,0.178571,0.178571,0.249999,0.249999,0.339285,0.339285,0.696426,0.83214,0.367999
500700_10.-1-3,-76.4873,42.4535,1,210,0,300000,205 Thurston Ave,330000,330000,375000,375000,400000,400000,500000,540000,0.0999997,0.0999997,0.249999,0.249999,0.333332,0.333332,0.666664,0.799997,0.349999
500700_10.-1-5,-76.4867,42.4535,8,411,0.58,1200000,223 Thurston Ave,1500000,1500000,1650000,1650000,1820000,1820000,1920000,1920000,0.25,0.25,0.375,0.375,0.516666,0.516666,0.6,0.6,0.054945
500700_10.-1-6,-76.4866,42.4532,1,210,0,210000,106 Highland Ave,210000,210000,230000,230000,240000,240000,275000,285000,0,0,0.0952376,0.0952376,0.142856,0.142856,0.309522,0.357141,0.187499
500700_10.-1-7,-76.4865,42.4529,1,210,0,265000,220 Fall Creek Dr,290000,290000,325000,325000,325000,325000,375000,450000,0.0943393,0.0943393,0.226414,0.226414,0.226414,0.226414,0.415093,0.698111,0.384614
500700_10.-1-8,-76.4869,42.4531,1,220,0,315000,218 Fall Creek Dr,345000,425000,500000,500000,525000,525000,600000,648000,0.0952378,0.349205,0.5873,0.5873,0.666665,0.666665,0.904759,1.05714,0.234285
500700_10.-1-9,-76.4871,42.4531,1,210,0,330000,216 Fall Creek Dr,360000,360000,450000,450000,550000,550000,625000,675000,0.0909088,0.0909088,0.363635,0.363635,0.666665,0.666665,0.893937,1.04545,0.227272
500700_10.-2-1,-76.4857,42.4533,1,418,0,825000,301-11 Thurston Ave,900000,900000,990000,990000,1090000,1090000,1090000,1090000,0.090909,0.090909,0.2,0.2,0.321212,0.321212,0.321212,0.321212,0
500700_10.-2-2,-76.485,42.4534,1,220,0,410000,315 Thurston Ave,425000,425000,425000,425000,425000,425000,425000,459000,0.0365853,0.0365853,0.0365853,0.0365853,0.0365853,0.0365853,0.0365853,0.119512,0.0799998
500700_10.-2-3,-76.4849,42.4532,1,483,0,245000,124 Roberts Pl,255000,255000,255000,255000,255000,255000,255000,255000,0.0408162,0.0408162,0.0408162,0.0408162,0.0408162,0.0408162,0.0408162,0.0408162,0
500700_10.-2-4,-76.4851,42.4531,1,210,0,220000,122 Roberts Pl,240000,240000,265000,265000,285000,285000,350000,378000,0.0909087,0.0909087,0.204545,0.204545,0.295453,0.295453,0.590906,0.718179,0.326315
500700_10.-3-1,-76.4861,42.4529,1,210,0,350000,302 Fall Creek Dr,370000,370000,450000,450000,450000,450000,525000,567000,0.0571427,0.0571427,0.285713,0.285713,0.285713,0.285713,0.499999,0.619998,0.259999
500700_10.-3-2,-76.4858,42.4528,1,210,0,265000,310 Fall Creek Dr,280000,280000,300000,300000,350000,350000,400000,432000,0.0566036,0.0566036,0.132075,0.132075,0.320754,0.320754,0.509432,0.630186,0.234285
500700_10.-3-4,-76.4854,42.4527,1,210,0,325000,316 Fall Creek Dr,360000,360000,450000,450000,475000,475000,550000,594000,0.107692,0.107692,0.384614,0.384614,0.461537,0.461537,0.692306,0.82769,0.250526
500700_10.-3-5,-76.4849,42.4528,1,210,0,500000,123 Roberts Pl,550000,550000,600000,600000,600000,600000,600000,648000,0.0999998,0.0999998,0.2,0.2,0.2,0.2,0.2,0.295999,0.0799999
500700_10.-3-6,-76.4844,42.453,1,210,0,400000,127 Roberts Pl,450000,450000,525000,525000,575000,575000,625000,675000,0.125,0.125,0.312499,0.312499,0.437499,0.437499,0.562499,0.687498,0.173913
500700_10.-3-7,-76.4844,42.4533,1,418,0,273000,401 Thurston Ave,290000,290000,320000,320000,350000,350000,350000,350000,0.0622708,0.0622708,0.172161,0.172161,0.28205,0.28205,0.28205,0.28205,0
500700_10.-3-8,-76.4839,42.4533,1,418,0,715000,411 Thurston Ave,800000,800000,880000,880000,970000,970000,970000,970000,0.118881,0.118881,0.230769,0.230769,0.356643,0.356643,0.356643,0.356643,0
500700_10.-3-9,-76.4839,42.453,1,210,0,365000,326 Fall Creek Dr,400000,400000,425000,425000,450000,450000,550000,594000,0.0958901,0.0958901,0.164383,0.164383,0.232876,0.232876,0.506848,0.627396,0.319999
500700_100.-1-1,-76.5202,42.4329,1,210,1.4,215000,367 Floral Ave,240000,240000,255000,255000,275000,275000,300000,330000,0.116279,0.116279,0.186046,0.186046,0.279068,0.279068,0.395347,0.534881,0.199999
500700_100.-1-7,-76.5203,42.4303,1,311,0.61,5000,Cherry St,5000,5000,5000,5000,5000,5000,5000,5000,0,0,0,0,0,0,0,0,0
500700_100.-2-1.1,-76.5186,42.4332,8,330,0.36,1000,Cherry St,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
500700_100.-2-1.21,-76.5185,42.4331,8,330,6,600000,Cherry St,600000,600000,900000,520000,520000,520000,520000,520000,0,0,0.499999,-0.133333,-0.133333,-0.133333,-0.133333,-0.133333,0
500700_100.-2-1.22,-76.5196,42.4308,8,330,2.25,225000,Cherry St,225000,225000,225000,225000,225000,225000,225000,225000,0,0,0,0,0,0,0,0,0
500700_100.-2-4,-76.5198,42.4314,8,330,0.08,1000,Cherry St,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
500700_100.-2-6.2,-76.5199,42.431,8,330,0.11,1000,Cherry St,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
500700_100.-3-1,-76.5165,42.4307,8,852,6.62,600000,717 Clinton St W,600000,600000,600000,600000,600000,600000,600000,600000,0,0,0,0,0,0,0,0,0
500700_101.-1-1.11,-76.5154,42.4324,1,330,2.69,79000,Cecil A Malone Dr,79000,79000,79000,79000,79000,79000,79000,79000,0,0,0,0,0,0,0,0,0
500700_101.-1-1.13,-76.5124,42.4324,1,330,2.15,80000,Cecil A Malone Dr,80000,80000,80000,80000,80000,80000,80000,80000,0,0,0,0,0,0,0,0,0
500700_102.-1-2.1,-76.5099,42.4315,1,452,14.53,14431000,710-734 Meadow St S,14431000,14431000,10000000,9000000,7700000,7700000,2750000,2750000,0,0,-0.307047,-0.376343,-0.466426,-0.466426,-0.809438,-0.809438,-0.642857
500700_102.-1-2.3,-76.5096,42.4328,1,452,5.74,5680000,614 Meadow St S,5680000,4589000,4000000,4000000,4000000,4000000,3500000,3500000,0,-0.192077,-0.295775,-0.295775,-0.295775,-0.295775,-0.383803,-0.383803,-0.125
500700_102.-1-2.4,-76.5084,42.4319,1,462,0,830000,702 Meadow St S,830000,830000,830000,830000,830000,925000,925000,925000,0,0,0,0,0,0.114458,0.114458,0.114458,0.114458
500700_103.-1-1.1,-76.5075,42.4332,1,453,1.44,1915000,615 Meadow St S,1915000,1915000,1915000,1915000,1300000,1300000,1300000,1300000,0,0,0,0,-0.321149,-0.321149,-0.321149,-0.321149,0
500700_103.-1-1.2,-76.5055,42.4331,1,411,2.61,1800000,220 Fair St,2000000,3500000,3850000,3850000,3850000,3850000,4100000,4100000,0.111111,0.944444,1.13889,1.13889,1.13889,1.13889,1.27778,1.27778,0.064935
500700_103.-1-3,-76.5077,42.4328,8,650,0,60000,621 Meadow St S,60000,60000,60000,60000,60000,60000,60000,60000,0,0,0,0,0,0,0,0,0
500700_103.-2-10,-76.5039,42.4337,1,210,0,135000,401 Titus Ave,150000,150000,160000,160000,180000,180000,200000,220000,0.11111,0.11111,0.185184,0.185184,0.333331,0.333331,0.481478,0.629625,0.222221
500700_103.-2-11,-76.5039,42.4336,1,210,0,85000,606 Plain St S,95000,95000,95000,95000,95000,95000,125000,138000,0.117646,0.117646,0.117646,0.117646,0.117646,0.117646,0.470583,0.623522,0.452627
500700_103.-2-12,-76.5041,42.4334,1,210,0,155000,608 Plain St S,175000,175000,200000,200000,210000,210000,245000,270000,0.129031,0.129031,0.290321,0.290321,0.354836,0.354836,0.580641,0.741931,0.285713
500700_103.-2-13,-76.5041,42.4333,1,210,0,155000,610 Plain St S,170000,170000,190000,190000,200000,200000,240000,264000,0.0967736,0.0967736,0.225805,0.225805,0.290321,0.290321,0.548384,0.703221,0.319998
500700_103.-2-14,-76.5041,42.4332,1,210,0,160000,612 Plain St S,180000,180000,200000,200000,215000,215000,245000,355000,0.124999,0.124999,0.249998,0.249998,0.343748,0.343748,0.531247,1.21874,0.65116
500700_103.-2-15,-76.5041,42.4331,1,210,0,140000,614 Plain St S,160000,160000,175000,175000,190000,190000,230000,253000,0.142856,0.142856,0.249998,0.249998,0.35714,0.35714,0.642853,0.807137,0.331577
500700_103.-2-16,-76.5041,42.433,1,220,0,155000,616 Plain St S,175000,175000,190000,190000,225000,225000,250000,275000,0.129031,0.129031,0.225805,0.225805,0.45161,0.45161,0.612899,0.774189,0.222221
500700_103.-2-17,-76.5039,42.4329,1,210,0,150000,618 Plain St S,160000,160000,175000,175000,185000,185000,220000,242000,0.0666662,0.0666662,0.166666,0.166666,0.233332,0.233332,0.466664,0.613329,0.308106
500700_103.-2-18,-76.5043,42.4329,1,210,0,110000,306 Wood St,110000,110000,120000,120000,140000,140000,170000,180000,0,0,0.0909083,0.0909083,0.272725,0.272725,0.54545,0.636358,0.285712
500700_103.-2-19,-76.5045,42.433,1,220,0,150000,308 Wood St,170000,170000,190000,190000,225000,225000,250000,260000,0.133332,0.133332,0.266665,0.266665,0.499997,0.499997,0.666662,0.733328,0.155555
500700_103.-2-1,-76.5056,42.4336,1,220,0,110000,425-27 Titus Ave,110000,110000,140000,140000,140000,140000,140000,154000,0,0,0.272725,0.272725,0.272725,0.272725,0.272725,0.399996,0.0999993
500700_103.-2-20,-76.5047,42.433,1,210,0,155000,310 Wood St,170000,170000,180000,180000,200000,200000,230000,253000,0.0967736,0.0967736,0.161289,0.161289,0.290321,0.290321,0.483868,0.632254,0.264999
500700_103.-2-21,-76.5049,42.433,1,220,0,165000,312 Wood St,200000,200000,225000,225000,250000,250000,285000,314000,0.21212,0.21212,0.363634,0.363634,0.515148,0.515148,0.727268,0.903025,0.255999
500700_103.-2-22,-76.5051,42.433,1,220,0,200000,314 Wood St,200000,200000,225000,225000,125000,125000,125000,325000,0,0,0.124999,0.124999,-0.374998,-0.374998,-0.374998,0.624997,1.59999
500700_103.-2-23,-76.5053,42.4329,1,210,0,145000,318 Wood St,155000,155000,165000,165000,185000,185000,215000,237000,0.068965,0.068965,0.13793,0.13793,0.27586,0.27586,0.482755,0.634478,0.28108
500700_103.-2-25,-76.5056,42.4334,1,210,0,145000,203 Fair St,160000,160000,160000,160000,160000,160000,190000,209000,0.103448,0.103448,0.103448,0.103448,0.103448,0.103448,0.310343,0.441376,0.306248
500700_103.-2-2,-76.5054,42.4336,1,210,0,90000,423 Titus Ave S,110000,110000,110000,110000,120000,120000,150000,165000,0.22222,0.22222,0.22222,0.22222,0.33333,0.33333,0.666659,0.833324,0.374997
500700_103.-2-3,-76.5052,42.4335,1,210,0,145000,421 Titus Ave S,150000,150000,155000,155000,155000,155000,170000,182000,0.0344825,0.0344825,0.068965,0.068965,0.068965,0.068965,0.172413,0.255171,0.174192
500700_103.-2-4,-76.505,42.4335,1,210,0,135000,419 Titus Ave S,135000,135000,145000,145000,165000,165000,200000,220000,0,0,0.0740735,0.0740735,0.222221,0.222221,0.481478,0.629625,0.333331
500700_103.-2-5,-76.5048,42.4335,1,210,0,150000,417 Titus Ave S,160000,160000,170000,170000,180000,180000,225000,248000,0.0666662,0.0666662,0.133332,0.133332,0.199999,0.199999,0.499997,0.653329,0.377776
500700_103.-2-6,-76.5047,42.4335,1,210,0,120000,415 Titus Ave S,130000,130000,155000,155000,140000,140000,160000,176000,0.0833326,0.0833326,0.291664,0.291664,0.166665,0.166665,0.333331,0.466663,0.257141
500700_103.-2-7,-76.5046,42.4335,1,210,0,215000,413 Titus Ave S,220000,220000,240000,240000,255000,255000,285000,314000,0.0232557,0.0232557,0.116279,0.116279,0.186046,0.186046,0.32558,0.460463,0.231372
500700_103.-2-8,-76.5045,42.4336,1,210,0,185000,411 Titus Ave S,205000,205000,225000,225000,235000,235000,255000,281000,0.108108,0.108108,0.216215,0.216215,0.270269,0.270269,0.378376,0.518916,0.195744
500700_103.-2-9.2,-76.5043,42.4336,1,220,0.2,205000,407-09 Titus Ave S,225000,225000,240000,240000,250000,250000,260000,286000,0.0975605,0.0975605,0.170731,0.170731,0.219511,0.219511,0.268291,0.39512,0.143999
500700_103.-3-10,-76.5039,42.4319,1,210,0,150000,712 Plain St S,160000,160000,160000,160000,170000,170000,210000,231000,0.0666662,0.0666662,0.0666662,0.0666662,0.133332,0.133332,0.399997,0.539996,0.358821
500700_103.-3-12,-76.5068,42.4321,8,591,4.27,1250000,401 Wood St,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,0,0,0,0,0,0,0,0,0
500700_103.-3-1,-76.5055,42.4325,8,210,0,115000,319 Wood St,125000,125000,125000,125000,135000,135000,175000,193000,0.0869558,0.0869558,0.0869558,0.0869558,0.173912,0.173912,0.521735,0.678255,0.429626
500700_103.-3-2,-76.5051,42.4325,1,210,0.16,125000,315 Wood St,125000,125000,125000,125000,135000,135000,175000,193000,0,0,0,0,0.0799994,0.0799994,0.399997,0.543996,0.429626
500700_103.-3-3,-76.5048,42.4325,1,210,0.22,200000,311 Wood St,215000,215000,230000,230000,245000,245000,270000,297000,0.0749996,0.0749996,0.149999,0.149999,0.224999,0.224999,0.349998,0.484998,0.212244
500700_103.-3-4,-76.5045,42.4325,1,210,0,115000,307 Wood St,135000,135000,145000,145000,155000,155000,180000,198000,0.173912,0.173912,0.260867,0.260867,0.347823,0.347823,0.565212,0.721733,0.277418
500700_103.-3-5,-76.5042,42.4325,1,210,0,110000,303 Wood St,125000,125000,125000,125000,135000,135000,175000,193000,0.136362,0.136362,0.136362,0.136362,0.227271,0.227271,0.590904,0.754539,0.429626
500700_103.-3-6,-76.5039,42.4326,1,210,0,215000,702 Plain St S,235000,235000,255000,255000,255000,255000,300000,330000,0.0930228,0.0930228,0.186046,0.186046,0.186046,0.186046,0.395347,0.534881,0.294116
500700_103.-3-7,-76.5039,42.4324,1,210,0,200000,704 Plain St S,230000,230000,255000,255000,270000,270000,315000,347000,0.149999,0.149999,0.274999,0.274999,0.349998,0.349998,0.574997,0.734996,0.285184
500700_103.-3-8,-76.5039,42.4323,1,210,0,165000,706 Plain St S,180000,180000,190000,190000,190000,190000,240000,264000,0.0909085,0.0909085,0.151514,0.151514,0.151514,0.151514,0.454543,0.599996,0.389472
500700_103.-3-9,-76.5039,42.4321,1,220,0,180000,710 Plain St S,200000,200000,225000,225000,275000,275000,325000,358000,0.11111,0.11111,0.249999,0.249999,0.527775,0.527775,0.805551,0.988883,0.301817
500700_104.-1-2,-76.505,42.4314,8,411,8.36,16000000,800 Plain St S,11500000,11500000,12650000,12650000,12650000,12650000,14000000,14000000,-0.28125,-0.28125,-0.209375,-0.209375,-0.209375,-0.209375,-0.125,-0.125,0.106719
500700_104.-1-3,-76.5038,42.4316,1,210,0,160000,802 Plain St S,180000,180000,180000,180000,185000,250000,295000,325000,0.124999,0.124999,0.124999,0.124999,0.156249,0.562496,0.843745,1.03124,0.756753
500700_104.-1-4,-76.5038,42.4315,1,210,0,145000,804 Plain St S,150000,150000,160000,160000,170000,170000,200000,220000,0.0344825,0.0344825,0.103448,0.103448,0.172413,0.172413,0.379308,0.517238,0.294116
500700_104.-1-5,-76.5038,42.4313,1,210,0,155000,806 Plain St S,165000,165000,175000,175000,185000,185000,235000,259000,0.0645157,0.0645157,0.129031,0.129031,0.193547,0.193547,0.516126,0.670963,0.399998
500700_104.-1-6,-76.5038,42.4312,1,210,0,60000,808 Plain St S,60000,210000,235000,235000,245000,245000,285000,314000,0,2.49996,2.91662,2.91662,3.08328,3.08328,3.74994,4.23326,0.281632
500700_104.-1-7,-76.5038,42.4311,1,210,0,125000,810 Plain St S,140000,140000,150000,150000,100000,200000,255000,281000,0.119999,0.119999,0.199998,0.199998,-0.199998,0.599995,1.03999,1.24799,1.80998
500700_104.-1-8,-76.5038,42.4309,1,210,0,135000,812 Plain St S,145000,145000,145000,145000,145000,145000,180000,198000,0.0740735,0.0740735,0.0740735,0.0740735,0.0740735,0.0740735,0.333331,0.466663,0.365515
500700_104.-1-9,-76.5052,42.4302,1,464,2.37,1200000,214 Elmira Rd,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0
500700_105.-1-10,-76.5018,42.4334,1,220,0,190000,514-16 Albany St S,240000,240000,300000,300000,300000,300000,323000,335000,0.263157,0.263157,0.578944,0.578944,0.578944,0.578944,0.699996,0.763154,0.116666
500700_105.-1-11,-76.5017,42.4332,1,411,0,250000,522-24 Albany St S,310000,310000,340000,340000,370000,370000,390000,390000,0.239999,0.239999,0.359999,0.359999,0.479998,0.479998,0.559998,0.559998,0.0540539
500700_105.-1-12,-76.5017,42.433,1,411,0,250000,526-28 Albany St S,290000,290000,320000,320000,350000,350000,370000,370000,0.159999,0.159999,0.279999,0.279999,0.399998,0.399998,0.479998,0.479998,0.0571427
500700_105.-1-13,-76.5019,42.4331,1,210,0,180000,208 Wood St,180000,180000,195000,195000,215000,225000,270000,297000,0,0,0.0833329,0.0833329,0.194443,0.249999,0.499997,0.649996,0.381394
500700_105.-1-14,-76.5021,42.4331,1,210,0,165000,212 Wood St,180000,180000,195000,195000,215000,215000,260000,286000,0.0909085,0.0909085,0.181817,0.181817,0.303028,0.303028,0.575754,0.733329,0.330231
500700_105.-1-15,-76.5023,42.4331,1,220,0,180000,214 Wood St,200000,200000,220000,220000,240000,240000,275000,303000,0.11111,0.11111,0.222221,0.222221,0.333331,0.333331,0.527775,0.68333,0.262499
500700_105.-1-16,-76.5025,42.4331,1,210,0,195000,216 Wood St,195000,195000,215000,215000,225000,225000,285000,328000,0,0,0.102564,0.102564,0.153845,0.153845,0.461536,0.682048,0.457776
500700_105.-1-17,-76.5026,42.4331,1,210,0,175000,218 Wood St,195000,195000,195000,195000,215000,215000,270000,297000,0.114285,0.114285,0.114285,0.114285,0.22857,0.22857,0.542854,0.697139,0.381394
500700_105.-1-18,-76.5027,42.433,1,210,0,165000,220 Wood St,175000,175000,200000,200000,220000,220000,245000,270000,0.0606057,0.0606057,0.21212,0.21212,0.333331,0.333331,0.484846,0.63636,0.227272
500700_105.-1-19,-76.5029,42.4331,1,210,0,155000,222 Wood St,175000,175000,185000,185000,215000,215000,250000,275000,0.129031,0.129031,0.193547,0.193547,0.387094,0.387094,0.612899,0.774189,0.279068
500700_105.-1-1,-76.5034,42.4333,1,210,0,118000,131 Hyers St,130000,130000,140000,140000,160000,160000,190000,209000,0.101694,0.101694,0.186439,0.186439,0.355929,0.355929,0.610164,0.77118,0.306248
500700_105.-1-2.1,-76.5033,42.4333,1,210,0,160000,129 Hyers St,185000,185000,215000,215000,170000,170000,215000,237000,0.156249,0.156249,0.343748,0.343748,0.0624996,0.0624996,0.343748,0.481247,0.394115
500700_105.-1-2.2,-76.5034,42.4332,1,312,0,9000,Plain St S,9000,9000,9000,9000,9000,9000,9000,9000,0,0,0,0,0,0,0,0,0
500700_105.-1-20,-76.5031,42.433,1,210,0,160000,224 Wood St,175000,175000,200000,200000,230000,230000,250000,275000,0.0937494,0.0937494,0.249998,0.249998,0.437497,0.437497,0.562496,0.718746,0.195651
500700_105.-1-21,-76.5033,42.433,1,220,0,225000,228 Wood St,245000,245000,340000,300000,315000,315000,350000,385000,0.0888885,0.0888885,0.511109,0.333332,0.399998,0.399998,0.555553,0.711108,0.222222
500700_105.-1-22,-76.5031,42.4332,1,210,0,125000,127.5 Hyers St,135000,135000,140000,140000,140000,140000,160000,176000,0.0799994,0.0799994,0.119999,0.119999,0.119999,0.119999,0.279998,0.407997,0.257141
500700_105.-1-3,-76.5031,42.4333,1,210,0,120000,127 Hyers St,155000,155000,180000,180000,240000,240000,270000,297000,0.291664,0.291664,0.499996,0.499996,0.999992,0.999992,1.24999,1.47499,0.237499
